Job_Title,Company_Name,Job_Condition,Job_Description,Job_Link
Wanted,"[데이터허브] Software Engineer, Backend 개발자",기웅정보통신,경력 5-16년,https://www.wanted.co.kr/wd/318534
Wanted,백엔드 개발자,가이아코퍼레이션,경력 3년 이상,https://www.wanted.co.kr/wd/310161
Wanted,Sr. Backend Engineer (Go/Java),센트비(Sentbe),경력 6년 이상,https://www.wanted.co.kr/wd/279560
Wanted,Software Engineer(Full-stack - Frontend Focus),알세미,경력 5년 이상,https://www.wanted.co.kr/wd/313802
Wanted,DevOps Engineer (3년 이상),쿡앱스(CookApps),경력 3-12년,https://www.wanted.co.kr/wd/288405
Wanted,클라우드 개발자(백엔드/DevOps),파이오링크,경력 1-10년,https://www.wanted.co.kr/wd/281795
Wanted,Software Engineer(Full-stack - Backend Focus),알세미,경력 5년 이상,https://www.wanted.co.kr/wd/313799
Wanted,ML/DevOps Engineer,사이오닉에이아이,경력 3년 이상,https://www.wanted.co.kr/wd/312163
Wanted,얼굴인식 서버 풀스택 소프트웨어 개발자,슈프리마,경력 3-7년,https://www.wanted.co.kr/wd/307704
Wanted,[SRE] Site Reliability Engineer,에이포엑스(A41),경력 3-10년,https://www.wanted.co.kr/wd/290153
Wanted,Software Engineer,애드쉴드,경력 5-10년,https://www.wanted.co.kr/wd/283052
Wanted,Backend Engineer (8년 이상),리디(RIDI),경력 8년 이상,https://www.wanted.co.kr/wd/290257
Wanted,AI 플랫폼팀 풀스택 개발자,뉴로엑스티,경력 5년 이상,https://www.wanted.co.kr/wd/318107
Wanted,[광고 엔진팀] 백엔드 개발자 (3년 이상),버즈빌(buzzvil),경력 3년 이상,https://www.wanted.co.kr/wd/265715
Wanted,Senior DevOps Engineer,하이퍼커넥트,경력 3-15년,https://www.wanted.co.kr/wd/302927
Wanted,ML Software Engineer (HYPERCONNECT AI),하이퍼커넥트,경력 3-15년,https://www.wanted.co.kr/wd/300125
Wanted,이더리움기반 컨트랙트/백엔드 개발자,넥써쓰,경력 5년 이상,https://www.wanted.co.kr/wd/270029
Wanted,[전문연구요원] 클라우드 개발자 (백엔드/DevOps),파이오링크,신입,https://www.wanted.co.kr/wd/281772
Wanted,Senior Site Reliability Engineer,하이퍼커넥트,경력 3-20년,https://www.wanted.co.kr/wd/202044
Wanted,ML Software Engineering Team Leader,하이퍼커넥트,경력 5-15년,https://www.wanted.co.kr/wd/247297
Wanted,시스템 개발자,스콥정보통신,경력 3-15년,https://www.wanted.co.kr/wd/313641
Wanted,Fullstack Engineer (Global/JP),리디(RIDI),경력 5년 이상,https://www.wanted.co.kr/wd/297266
Wanted,블록체인 메인넷 개발,위메이드(WEMADE),경력 5년 이상,https://www.wanted.co.kr/wd/314659
Wanted,서버 테크 리드 (Server Tech Lead),뱅크샐러드,경력 5-10년,https://www.wanted.co.kr/wd/279176
Wanted,Go Backend Developer,보이저,경력 6-20년,https://www.wanted.co.kr/wd/293878
