Job_Title,Company_Name,Job_Condition,Job_Description,Job_Link
Wanted,Game Platform Backend Engineer (Java),앤서스랩코리아,경력 5년 이상,https://www.wanted.co.kr/wd/305928
Wanted,인공지능 MLOps 플랫폼 백엔드 개발자 (자바/5년 이상),텐,경력 5년 이상,https://www.wanted.co.kr/wd/321059
Wanted,백엔드 개발자 (2~10년),뱅크엑스,경력 2-8년,https://www.wanted.co.kr/wd/318051
Wanted,Software Engineer (Back-end) - 10년 이상,샵라이브,경력 10년 이상,https://www.wanted.co.kr/wd/284486
Wanted,클라우드 플랫폼  프로젝트 개발,이노그리드,경력 3년 이상,https://www.wanted.co.kr/wd/319326
Wanted,개발팀 매쓰플랫 백엔드 개발자 (7년차 이상),프리윌린,경력 7년 이상,https://www.wanted.co.kr/wd/319180
Wanted,"풀스텍 개발＜5년차 이상＞(JAVA, VUE)  (5년차 이상 )",아이알큐더스,경력 5-15년,https://www.wanted.co.kr/wd/317675
Wanted,Payment Backend Engineer (Python),앤서스랩코리아,경력 5년 이상,https://www.wanted.co.kr/wd/316783
Wanted,웹 프론트엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,https://www.wanted.co.kr/wd/296319
Wanted,백엔드 개발자(5년 이상),레디포스트,경력 5-10년,https://www.wanted.co.kr/wd/307389
Wanted,[아파트너] 플랫폼파트 백엔드 파트리더,두꺼비세상,경력 7년 이상,https://www.wanted.co.kr/wd/307575
Wanted,PG정산 개발자(3년이상),이오스시스템,신입,https://www.wanted.co.kr/wd/314670
Wanted,"Software Engineer, Backend - 커머스플랫폼",놀유니버스,경력 5년 이상,https://www.wanted.co.kr/wd/315476
Wanted,[WIPPY JAPAN] 백엔드(Kotlin) 개발자,엔라이즈(NRISE),경력 3년 이상,https://www.wanted.co.kr/wd/284809
Wanted,백엔드 개발자(3년~5년),바운드포,경력 3-5년,https://www.wanted.co.kr/wd/300164
Wanted,[에누리개발본부] 검색엔진 개발,커넥트웨이브,경력 5-12년,https://www.wanted.co.kr/wd/239746
Wanted,JAVA 풀스택 서비스 개발 및 운영 정규직,리스타,경력 6년 이상,https://www.wanted.co.kr/wd/309049
Wanted,통합 물류 자동화 시스템 Back-End 개발자,알티올,경력 3-10년,https://www.wanted.co.kr/wd/296452
Wanted,AI 플랫폼 개발 풀스택,비전스페이스,경력 1-20년,https://www.wanted.co.kr/wd/310265
Wanted,"Software Engineer, Backend - 전자금융개발",놀유니버스,경력 5년 이상,https://www.wanted.co.kr/wd/313750
Wanted,BizOps Software Engineer (8년 차 이상),와드(캐치테이블),경력 8년 이상,https://www.wanted.co.kr/wd/313559
Wanted,AI Agent 개발 리더,빅스데이터,경력 5년 이상,https://www.wanted.co.kr/wd/316640
Wanted,Sr. Backend Engineer (Go/Java),센트비(Sentbe),경력 6년 이상,https://www.wanted.co.kr/wd/279560
Wanted,Software Engineer(Full-stack - Frontend Focus),알세미,경력 5년 이상,https://www.wanted.co.kr/wd/313802
Wanted,Java Server 개발자,아하랩스,경력 4년 이상,https://www.wanted.co.kr/wd/267844
Wanted,JAVA / 전자정부 프레임워크 웹시스템 개발자(중급 or 고급),프로지스트,경력 5-10년,https://www.wanted.co.kr/wd/312179
Wanted,JAVA 개발자,헬스커넥트,경력 5-15년,https://www.wanted.co.kr/wd/216630
Wanted,웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,https://www.wanted.co.kr/wd/296313
Wanted,Senior Backend Engineer/Backend Lead,오엔제이,경력 10-17년,https://www.wanted.co.kr/wd/260897
Wanted,WEB 개발자 native 모바일 신분증 개발,파킹스루,경력 5-6년 · 계약직,https://www.wanted.co.kr/wd/315874
Wanted,BackEnd Engineer (JAVA),에이치투오호스피탈리티,경력 8-12년,https://www.wanted.co.kr/wd/311360
Wanted,프론트엔드 개발자(5년이상),다이퀘스트,경력 5년 이상,https://www.wanted.co.kr/wd/314077
Wanted,[Product/Backend] Software Engineer (3년 이상),클럼엘,경력 3년 이상,https://www.wanted.co.kr/wd/315548
Wanted,[미리디] 시니어 데이터 엔지니어,미리디,경력 5-10년,https://www.wanted.co.kr/wd/280518
Wanted,[Data] Software Engineer (3년 이상),클럼엘,경력 3년 이상,https://www.wanted.co.kr/wd/315564
Wanted,Software Engineer(Full-stack - Backend Focus),알세미,경력 5년 이상,https://www.wanted.co.kr/wd/313799
Wanted,"Java, C++, Python 기반 CAD/CAE SaaS 개발자",메크랩,경력 3년 이상,https://www.wanted.co.kr/wd/314024
Wanted,Backend Engineer(5년 이상),비에이치에스엔,경력 5년 이상,https://www.wanted.co.kr/wd/302922
Wanted,[다나와개발본부] Search Engineer (5년 이상),커넥트웨이브,경력 5-13년,https://www.wanted.co.kr/wd/273652
Wanted,Staff Software Engineer (7년 이상),스푼랩스,경력 7년 이상,https://www.wanted.co.kr/wd/293599
Wanted,전기차충전업 백엔드 엔지니어,플러그링크,경력 5-8년,https://www.wanted.co.kr/wd/314349
Wanted,[개발본부] 웹 풀스택 개발자(5년 이상),빅밸류,경력 5년 이상,https://www.wanted.co.kr/wd/276486
Wanted,Java 백엔드 리드 개발자 (5~10년),후플렉스,경력 5-10년,https://www.wanted.co.kr/wd/311024
Wanted,Back-end 시니어 개발자,오픈플랜,경력 7년 이상,https://www.wanted.co.kr/wd/311889
Wanted,Web Full Stack 개발자,디메타,경력 5년 이상,https://www.wanted.co.kr/wd/316719
