Job_Title,Company_Name,Job_Condition,Job_Description,Job_Link
Wanted,Global Business Manager,글루가(ohora/오호라),경력 2년 이상,https://www.wanted.co.kr/wd/315427
Wanted,Solution Engineer (주니어),클럼엘,경력 2-4년,https://www.wanted.co.kr/wd/306440
Wanted,AI 엔지니어,콘센트릭스서비스코리아CATALYST,경력 5년 이상,https://www.wanted.co.kr/wd/274337
Wanted,데이터 분석 엔지니어 (3년 이상),그래비티랩스,경력 3-15년,https://www.wanted.co.kr/wd/320348
Wanted,생성형 AI 자동화 SW 개발 (로보틱스 LLM/RAG),비전스페이스,경력 1-20년,https://www.wanted.co.kr/wd/310263
Wanted,데이터 엔지니어(5년 이상),이노케어플러스,경력 5-7년,https://www.wanted.co.kr/wd/315674
Wanted,BI퍼블리싱팀- 데이터 인텔리전스 사업PM (3년 이상),트리노드,경력 3년 이상,https://www.wanted.co.kr/wd/317685
Wanted,백엔드 개발자 (2~10년),뱅크엑스,경력 2-8년,https://www.wanted.co.kr/wd/318051
Wanted,반도체·스마트팩토리 물류 제어 S/W 프론트 개발자(React),주밍코리아,경력 5년 이상,https://www.wanted.co.kr/wd/306476
Wanted,"[데이터허브] Software Engineer, Backend 개발자",기웅정보통신,경력 5-16년,https://www.wanted.co.kr/wd/318534
Wanted,강화학습 Reinforcement Learning Engineer(전문연),플라잎,경력 5년 이상,https://www.wanted.co.kr/wd/315743
Wanted,AI Engineer - 3년 이상,샵라이브,경력 3년 이상,https://www.wanted.co.kr/wd/284491
Wanted,Data Engineer(3년 이상),비에이치에스엔,경력 3-8년,https://www.wanted.co.kr/wd/284124
Wanted,데이터 사이언티스트 (DS),미트박스글로벌,경력 3년 이상,https://www.wanted.co.kr/wd/307460
Wanted,시니어 백엔드 엔지니어 (Python),엘리스,경력 5년 이상,https://www.wanted.co.kr/wd/230306
Wanted,AI Vision Engineer / 전문연구요원 가능,플라잎,경력 1-7년,https://www.wanted.co.kr/wd/316002
Wanted,"BE Engineer (Python, Django, DRF) (3년/전문연 가능)",소크라에이아이,경력 3년 이상,https://www.wanted.co.kr/wd/309404
Wanted,Payment Backend Engineer (Python),앤서스랩코리아,경력 5년 이상,https://www.wanted.co.kr/wd/316783
Wanted,웹 프론트엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,https://www.wanted.co.kr/wd/296319
Wanted,"Junior Software Engineer, Backend (SaaS)",어니스트에이아이,경력 3-6년,https://www.wanted.co.kr/wd/312408
Wanted,백엔드 엔지니어 (파이썬),블루밍비트,경력 3-5년,https://www.wanted.co.kr/wd/318163
Wanted,Data Engineer,앰버로드,경력 5년 이상,https://www.wanted.co.kr/wd/290983
Wanted,[AI사업] AI 서비스 백엔드 개발자,누리미디어(DBpia),경력 5-8년,https://www.wanted.co.kr/wd/277890
Wanted,AI 엔지니어,청담미디어,경력 3년 이상,https://www.wanted.co.kr/wd/315303
Wanted,Python Algorithm Engineer,제너레잇,경력 3-10년,https://www.wanted.co.kr/wd/288502
Wanted,Product Data Analyst (5년차 이상),와드(캐치테이블),경력 5년 이상,https://www.wanted.co.kr/wd/273027
Wanted,[에누리개발본부] 검색엔진 개발,커넥트웨이브,경력 5-12년,https://www.wanted.co.kr/wd/239746
Wanted,"AI Engineer (LLM, RAG)",퍼슬리,경력 3-10년,https://www.wanted.co.kr/wd/316470
Wanted,AI설문조사 플랫폼 Data Scientist / LLM Researcher,인텔리시아,경력 2-10년,https://www.wanted.co.kr/wd/286089
Wanted,데이터사이언티스트,페이블랩,경력 4년 이상,https://www.wanted.co.kr/wd/308210
Wanted,데이터 플랫폼 엔지니어 (크롤링 전문가),콘센트릭스서비스코리아CATALYST,경력 1년 이상,https://www.wanted.co.kr/wd/319941
Wanted,Vision AI 분석엔진 코어 개발 및 유지보수,씨이랩,경력 3-10년,https://www.wanted.co.kr/wd/303825
Wanted,Python Engineer (LLM & Remote Sandbox),포지큐브(POSICUBE),경력 2년 이상,https://www.wanted.co.kr/wd/297551
Wanted,백엔드 개발자,가이아코퍼레이션,경력 3년 이상,https://www.wanted.co.kr/wd/310161
Wanted,AI 플랫폼 개발 풀스택,비전스페이스,경력 1-20년,https://www.wanted.co.kr/wd/310265
Wanted,BizOps Software Engineer (8년 차 이상),와드(캐치테이블),경력 8년 이상,https://www.wanted.co.kr/wd/313559
Wanted,AI/로봇 엔지니어,파이브레인 에이아이,경력 1년 이상,https://www.wanted.co.kr/wd/314788
Wanted,AI Agent 개발 리더,빅스데이터,경력 5년 이상,https://www.wanted.co.kr/wd/316640
Wanted,데이터 분석가,기어세컨드,경력 2-10년,https://www.wanted.co.kr/wd/247524
Wanted,Sr. Deep Learning Algorithm Engineer,스트라드비젼(STRADVISION),경력 5년 이상,https://www.wanted.co.kr/wd/315756
Wanted,"Embedded firmware Engineer (임베디드 펌웨어 개발, EE)",식스티헤르츠,경력 5년 이상,https://www.wanted.co.kr/wd/305633
Wanted,Software Engineer(Full-stack - Frontend Focus),알세미,경력 5년 이상,https://www.wanted.co.kr/wd/313802
Wanted,시니어 AI 엔지니어 (NLP/LLM),웨이커,경력 9년 이상,https://www.wanted.co.kr/wd/306059
Wanted,Gen AI Consultant,에프피티소프트웨어코리아,경력 8년 이상 · 계약직,https://www.wanted.co.kr/wd/316511
Wanted,백엔드 개발자 (Python / 3년 이상),더페어골프,경력 3-5년,https://www.wanted.co.kr/wd/311356
Wanted,AI Researcher(LLM),몬드리안에이아이,경력 2년 이상,https://www.wanted.co.kr/wd/283459
Wanted,풀스택 개발자 (API Product),네오사피엔스(타입캐스트),경력 7년 이상,https://www.wanted.co.kr/wd/315369
Wanted,시스템 엔지니어 - IT 솔루션 구축 및 장애 대응,팀벨,경력 1년,https://www.wanted.co.kr/wd/311936
Wanted,Python Backend Developer,크로스이엔에프,경력 5-8년,https://www.wanted.co.kr/wd/238973
Wanted,데이터 엔지니어 (1년 ~ 5년),닥터스바이오텍,경력 1-5년,https://www.wanted.co.kr/wd/315765
Wanted,Python 개발자 (5년 이상),씨어스테크놀로지,경력 5년 이상,https://www.wanted.co.kr/wd/296553
Wanted,Software Engineer(HW/SW 융합시스템),오엔제이,경력 7년 이상,https://www.wanted.co.kr/wd/305744
Wanted,Python 개발자 (계약직),씨피에스테크,경력 2년 이상 · 계약직,https://www.wanted.co.kr/wd/312685
Wanted,마케팅 데이터 엔지니어,어센트코리아(Ascent Korea),경력 1-5년,https://www.wanted.co.kr/wd/301034
Wanted,[Internal Agent팀] Agent Developer,뤼튼테크놀로지스,경력 3년 이상,https://www.wanted.co.kr/wd/299713
Wanted,Django 백엔드 개발자,알리콘,경력 2년 이상,https://www.wanted.co.kr/wd/314914
Wanted,[메가스터디교육 자회사] AI 개발자,마이스,경력 3-10년,https://www.wanted.co.kr/wd/318515
Wanted,ML Engineer(LLM/AI Agent) - 병역특례/외국인 가능,심플랫폼,신입,https://www.wanted.co.kr/wd/303864
Wanted,파이썬 백엔드 개발자 (5 ~ 15년),지니파이,경력 5-15년,https://www.wanted.co.kr/wd/315965
Wanted,Python Developer,스피어코퍼레이션,경력 3년 이상,https://www.wanted.co.kr/wd/290047
Wanted,웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,https://www.wanted.co.kr/wd/296313
Wanted,AMCG 연구그룹 알고리즘(팀장급) 포지션,에이엠시지(AMCGCo.Ltd.),경력 10-20년,https://www.wanted.co.kr/wd/286385
Wanted,"시니어 백엔드 개발자 (Node.js, 5년 이상)",코딧(CODITCorp.),경력 5-10년,https://www.wanted.co.kr/wd/46260
Wanted,Junior ADs Data Scientist,아티스트컴퍼니,경력 2-5년,https://www.wanted.co.kr/wd/315017
Wanted,데이터 사이언티스트(2년 이상),에이드리븐,경력 2년 이상,https://www.wanted.co.kr/wd/296601
Wanted,풀스택 Engineer (솔루션 사업부),오토메타,경력 3-11년,https://www.wanted.co.kr/wd/162074
Wanted,Algorithm Engineer,스트라드비젼(STRADVISION),신입 이상,https://www.wanted.co.kr/wd/301741
Wanted,"Python 개발자 (금융, 마이데이터)",왓섭,경력 3-10년,https://www.wanted.co.kr/wd/304327
Wanted,AI 데이터 전처리 개발,씨드로닉스,경력 3년 이상,https://www.wanted.co.kr/wd/295760
Wanted,rPPG / 생체 신호 / 영상 분석 딥러닝 연구원 (석박사급),바이오커넥트,경력 1-10년,https://www.wanted.co.kr/wd/312478
Wanted,클라우드 개발자(백엔드/DevOps),파이오링크,경력 1-10년,https://www.wanted.co.kr/wd/281795
Wanted,데이터 엔지니어 (3년 이상),워트인텔리전스,경력 3-15년,https://www.wanted.co.kr/wd/315865
Saramin,[정규직] AI 개발자 (Python개발),(주)퀸텟시스템즈,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52086864&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"Linux/Unix기반 개발자(경력) 모집 (C,Go,Python)",(주)지란지교에스앤씨,경력 1~5년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52144929&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"ocr 솔루션(java,python),검색엔진 개발 신입/경력직 채용",(주)웨어비즈,신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52018174&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[경력] Solution/SW 개발자 채용 - Java/Python,(주)위존,경력7년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52033951&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,Python개발자 경력 채용,(주)씨어스테크놀로지,경력 5~20년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52010486&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,Python개발자 채용,(주)엠클라우독,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51899238&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[안랩-제이슨]Python파이썬 개발자 모집,(주)제이슨,경력 3~7년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52080882&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,데이터플로 파이썬 개발자 채용 - 웹크롤링 및 데이터 처리,데이터플로,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52115934&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[대전] 데이터허브 구축 파이션(Python) 개발자,(주)에스티로직,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52098532&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[이수그룹 IT계열사]Python연구/개발 담당자 채용,(주)이수시스템,경력 4~7년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52008106&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[PYTHONSI 을지로3가] Python 기반 LLM 자동화 (10),(주)제이투이,경력3년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52130737&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"[플랜아이] 개발자 채용 PHP WEB, AI(Python)",(주)플랜아이,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51816229&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"[테나아이] 백엔드(Java,Python) 개발자 모집",(주)테나아이,경력2년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52015701&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[계약직]Python기반 자연어처리(NLP) AI 개발자 경력직 채용,(주)바이브컴퍼니,신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52251168&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[슈프리마]Python개발자(해외기술지원 AI Chatbot&데이터 운영),(주)슈프리마,경력 3~8년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51922426&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,Python워크플로우 자동화 개발자 (RPA),엑스보스주식회사,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52042402&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[세종]Python개발자 채용,(주)바이브컴퍼니,경력 1~4년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52118025&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,(주)프로텐 검색엔진 솔루션 JAVA/PYTHON개발자 모집,(주)프로텐,경력 1~15년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52105591&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,VISION AI 솔루션Python웹서비스 백엔드 개발(3년~5년),(주)에이아이썸,경력 3~5년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52179349&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,데이터분석/Python/JAVA/SAS 인재 채용/서비스기획,(주)그루넷,신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52165237&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"PythonRAG Pipeline Engineer (신입, 경력)",(주)포지큐브,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52179248&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,VISION AI 솔루션Python웹서비스 백엔드 개발(6년~10년),(주)에이아이썸,경력 6~10년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52179360&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,PythonDeveloper (ERP 담당) 채용,주식회사 스피어코퍼레이션,경력1년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51834134&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,Python백엔드 개발자 채용 (파이썬),루쿠쿠,신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52118857&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,Python/ C#.NET 기반 프로그램 개발자 모집,주식회사 썬컴,경력 3~6년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51984055&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,backend (python) 개발자,(주)씨메스,경력 3~10년,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52247778&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,인공지능 MLOps 플랫폼 백엔드 개발자 (파이썬/3년 이상),(주)텐,경력3년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52019685&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,디클(주) - 파이썬Python개발자 프로그래머 채용,디클(주),경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51963515&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,파이썬 개발자 모집,망고클라우드(주),신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52232837&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,Python개발자 (백엔드 엔지니어),(주)마인드에이아이,경력4년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52066810&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,AI 개발자 채용 (Python경력),에이치에스소프트(주),경력2년↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52209068&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"Python, DJango/DJangoRestframework 웹개발자",클립데이터(주),신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52139370&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[NIKE PARTNER] 파이썬 back-end 개발자(신입) 채용,(주)대연,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52059894&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,(주)ISTN [Agentic AI 개발자] 채용,(주)아이에스티엔,신입·경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51902264&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,"[백엔드/서버개발] Php,Python솔루션 개발자 모집",(주)웨이브스트링,신입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52251823&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,파이썬(Python) 기반의 풀스택 개발자 모십니다.,(주)케이엘피,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52251087&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,파이썬 초/중급 개발자,(주)씨텍,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51805179&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
Saramin,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능 외,(사)한국아이씨티에이아이기술협회,경력무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52032492&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=190e89a1-5ea3-42c3-90df-c72bf61db80f
